id,provider,region,instance_type,probe_kind,meta_policy,max_minutes,policy_version,instance_id,outcome,start_time_utc,end_time_utc,duration_minutes,interrupted,interrupt_bin,survived_hours,spot_price_usd,price_delta_6h,sampling_propensity,pred_h1_at_launch,pred_risk_5h_at_launch,features_snapshot,created_at,source,topup_reason
29,aws,us-east-1,t3a.large,micro,ensemble_h1,60,meta_v3_ensemble_h1_hedge_persist,i-05c3fcbf5e5ccd1dc,Censored (Stopped by Design),2026-02-07 02:53:13.958572+00:00,2026-02-07 03:53:23.62121+00,60.16,False,,1,0.0283,-0.0049,0.166663350140697,0.0505861862021583,,"{""launch_dow"":5,""launch_utc_hour"":2,""price_zscore_6h"":-0.9607843137254902,""launch_local_hour"":2}",2026-02-07 03:53:25.353367+00,,
30,aws,us-east-1,c6i.large,micro,ensemble_h1,60,meta_v3_ensemble_h1_hedge_persist,i-006fd7e30b93e6d13,Censored (Stopped by Design),2026-02-07 02:53:15.842152+00:00,2026-02-07 03:53:28.061203+00,60.2,False,,1,0.0439,0.0036,0.166664120811622,0.0499427711566048,,"{""launch_dow"":5,""launch_utc_hour"":2,""price_zscore_6h"":0.9473684210526315,""launch_local_hour"":2}",2026-02-07 03:53:28.680812+00,,
32,aws,us-west-2,m6a.large,micro,ensemble_h1,60,meta_v3_ensemble_h1_hedge_persist,i-0896a8b6b2830217d,Censored (Stopped by Design),2026-02-07 02:53:20.834911+00:00,2026-02-07 03:53:35.279538+00,60.24,False,,1,0.0411,-0.0234,0.166685184565736,0.0492649572682801,,"{""launch_dow"":5,""launch_utc_hour"":2,""price_zscore_6h"":-0.9915254237288136,""launch_local_hour"":2}",2026-02-07 03:53:36.006956+00,,
31,aws,us-east-1,t3a.large,micro,ensemble_h1,60,meta_v3_ensemble_h1_hedge_persist,i-00e443e773d5bd04b,Censored (Stopped by Design),2026-02-07 02:53:23.048582+00:00,2026-02-07 03:53:32.05121+00,60.15,False,,1,0.0283,-0.0049,0.166663350140697,0.0539255200616054,,"{""launch_dow"":5,""launch_utc_hour"":2,""price_zscore_6h"":-0.9607843137254902,""launch_local_hour"":2}",2026-02-07 03:53:32.528463+00,,
33,aws,us-west-2,t3a.large,micro,ensemble_h1,60,meta_v3_ensemble_h1_hedge_persist,i-0b2f021e6b749120c,Censored (Stopped by Design),2026-02-07 02:53:24.999699+00:00,2026-02-07 03:53:36.841211+00,60.2,False,,1,0.031,-0.0036,0.166661927074721,0.0466878293139929,,"{""launch_dow"":5,""launch_utc_hour"":2,""price_zscore_6h"":-0.9473684210526315,""launch_local_hour"":2}",2026-02-07 03:53:37.325296+00,,
34,aws,us-west-2,t3a.large,micro,ensemble_h1,60,meta_v3_ensemble_h1_hedge_persist,i-0d0ae2bacd16dbd0f,Censored (Stopped by Design),2026-02-07 02:53:26.887884+00:00,2026-02-07 03:53:42.181216+00,60.25,False,,1,0.031,-0.0036,0.166661927074721,0.048423638728832,,"{""launch_dow"":5,""launch_utc_hour"":2,""price_zscore_6h"":-0.9473684210526315,""launch_local_hour"":2}",2026-02-07 03:53:42.828296+00,,
35,aws,us-east-1,c6i.large,micro,ensemble_h1,60,meta_v3_ensemble_h1_hedge_persist,i-0ad8cb49d60b93a36,Censored (Stopped by Design),2026-02-07 02:53:32.410766+00:00,2026-02-07 03:53:44.412427+00,60.2,False,,1,0.0439,0.0036,0.166664120811622,0.0529412405753627,,"{""launch_dow"":5,""launch_utc_hour"":2,""price_zscore_6h"":0.9473684210526315,""launch_local_hour"":2}",2026-02-07 03:53:44.952053+00,,
36,aws,us-west-2,m6a.large,micro,ensemble_h1,60,meta_v3_ensemble_h1_hedge_persist,i-0fef825fdba45a42c,Censored (Stopped by Design),2026-02-07 02:53:37.464305+00:00,2026-02-07 03:53:52.461288+00,60.25,False,,1,0.0411,-0.0234,0.166685184565736,0.0504537197750209,,"{""launch_dow"":5,""launch_utc_hour"":2,""price_zscore_6h"":-0.9915254237288136,""launch_local_hour"":2}",2026-02-07 03:53:53.060675+00,,
37,aws,us-west-2,c6i.large,micro,ensemble_h1,60,meta_v3_ensemble_h1_hedge_persist,i-0bc14eb9928f07211,Censored (Stopped by Design),2026-02-07 02:53:42.796760+00:00,2026-02-07 03:53:54.781204+00,60.2,False,,1,0.0373,0.0,0.166655400199847,0.0509785082977602,,"{""launch_dow"":5,""launch_utc_hour"":2,""price_zscore_6h"":0,""launch_local_hour"":2}",2026-02-07 03:53:55.336511+00,,
38,aws,us-west-2,m6a.large,micro,ensemble_h1,60,meta_v3_ensemble_h1_hedge_persist,i-014fde2c578e444ce,Censored (Stopped by Design),2026-02-07 02:53:44.754242+00:00,2026-02-07 03:53:59.821217+00,60.25,False,,1,0.0411,-0.0234,0.166685184565736,0.0528191348020063,,"{""launch_dow"":5,""launch_utc_hour"":2,""price_zscore_6h"":-0.9915254237288136,""launch_local_hour"":2}",2026-02-07 03:54:00.382093+00,,
39,aws,us-west-2,c6i.large,micro,ensemble_h1,60,meta_v3_ensemble_h1_hedge_persist,i-0780223c94a7481b5,Censored (Stopped by Design),2026-02-07 02:53:50.035660+00:00,2026-02-07 03:54:02.101237+00,60.2,False,,1,0.0373,0.0,0.166655400199847,0.0518681050883559,,"{""launch_dow"":5,""launch_utc_hour"":2,""price_zscore_6h"":0,""launch_local_hour"":2}",2026-02-07 03:54:02.675728+00,,
40,aws,us-east-1,t3a.large,micro,ensemble_h1,60,meta_v3_ensemble_h1_hedge_persist,i-0d7e7e0f2259db5e8,Censored (Stopped by Design),2026-02-07 02:53:52.505336+00:00,2026-02-07 03:54:04.968863+00,60.21,False,,1,0.0283,-0.0049,0.166663350140697,0.050228478689138,,"{""launch_dow"":5,""launch_utc_hour"":2,""price_zscore_6h"":-0.9607843137254902,""launch_local_hour"":2}",2026-02-07 03:54:05.536652+00,,
41,aws,us-east-1,c6i.large,micro,ensemble_h1,60,meta_v3_ensemble_h1_hedge_persist,i-0263c9f1c2b38d0b4,Censored (Stopped by Design),2026-02-07 02:53:57.485295+00:00,2026-02-07 03:54:09.621206+00,60.2,False,,1,0.0439,0.0036,0.166664120811622,0.0514738312060209,,"{""launch_dow"":5,""launch_utc_hour"":2,""price_zscore_6h"":0.9473684210526315,""launch_local_hour"":2}",2026-02-07 03:54:10.148005+00,,
42,aws,us-east-1,c6i.large,micro,ensemble_h1,60,meta_v3_ensemble_h1_hedge_persist,i-0eb314f95cbf64faa,Censored (Stopped by Design),2026-02-07 02:54:02.492003+00:00,2026-02-07 03:54:14.841205+00,60.21,False,,1,0.0439,0.0036,0.166664120811622,0.0503017377837535,,"{""launch_dow"":5,""launch_utc_hour"":2,""price_zscore_6h"":0.9473684210526315,""launch_local_hour"":2}",2026-02-07 03:54:15.437726+00,,
43,aws,us-west-2,t3a.large,micro,ensemble_h1,60,meta_v3_ensemble_h1_hedge_persist,i-059444fe342a3d358,Censored (Stopped by Design),2026-02-07 02:54:07.595100+00:00,2026-02-07 03:54:19.655733+00,60.2,False,,1,0.031,-0.0036,0.166661927074721,0.0509090235278243,,"{""launch_dow"":5,""launch_utc_hour"":2,""price_zscore_6h"":-0.9473684210526315,""launch_local_hour"":2}",2026-02-07 03:54:20.183313+00,,
